boundary,counties
feature,"San Bernardino County, California"
feature id,36
center,"-115.967, 34.8403"
scenario,High (RCP 8.5)
climate indicator,Minimum Temperature
units,°F

year,Modeled RCP 8.5 Range Min,Modeled RCP 8.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
1950,49.4668884277,52.7902526855,50.0079803467,51.3620834351,50.8747329712,50.3606262207,50.6919174194
1951,48.844291687,52.8716049194,49.0599517822,51.2852897644,50.4045181274,50.4441757202,52.3504142761
1952,48.3539733887,52.7045059204,48.9491348267,50.927520752,51.6762390137,50.5512924194,52.6957168579
1953,49.3809204102,53.2398147583,48.9413604736,50.4096794128,50.5550842285,51.4373931885,51.7003555298
1954,49.0992279053,52.752456665,50.4373626709,51.0220031738,50.2247772217,51.2827072144,51.2855644226
1955,49.3342285156,53.1562042236,49.0614395142,51.7868156433,49.8640441895,49.8085632324,50.4105033875
1956,47.6861686707,52.4568710327,49.3333587646,51.028427124,50.3600234985,50.3568878174,50.4148406982
1957,48.5008621216,53.4497070312,50.5166931152,51.4340438843,49.8354797363,50.7320175171,52.5967826843
1958,48.1453971863,52.8348007202,52.1827163696,49.6102600098,48.3177719116,49.8882675171,51.1445007324
1959,48.7273979187,52.8281555176,52.5581207275,49.5757064819,49.3508720398,50.0043945312,51.5983428955
1960,47.7100639343,53.1309356689,51.5014953613,51.1858062744,51.2524414062,51.6196060181,52.2010574341
1961,47.6730957031,52.6142501831,50.7027206421,49.8464660645,49.9927482605,50.7029571533,50.3585357666
1962,48.8412704468,52.432975769,51.2638092041,51.7868156433,49.0805511475,50.7752494812,51.2340393066
1963,47.0677490234,53.0950126648,51.0453872681,52.6449584961,50.9841003418,48.8869743347,50.8083724976
1964,48.3482055664,52.2949333191,50.1606178284,51.3884506226,50.4036369324,49.4648551941,51.8552627563
1965,48.6852645874,52.4910392761,50.5880470276,50.2364807129,50.4842224121,50.0704193115,52.2369804382
1966,48.3067321777,52.4700546265,51.4699859619,50.4638977051,51.0903930664,50.4949874878,49.7720870972
1967,47.4983596802,52.8572158813,51.6259346008,52.4661026001,50.3728179932,49.9186477661,50.101020813
1968,47.1179580688,52.3065261841,50.915222168,50.0095596313,50.5847473145,51.3907585144,50.326675415
1969,48.7677154541,52.9333496094,52.0848846436,51.6109771729,50.1138725281,51.4961700439,49.9520988464
1970,48.7205886841,52.4609375,51.2644233704,48.7493133545,50.6683502197,52.0797119141,50.3526077271
1971,48.999420166,52.7359237671,49.8163299561,49.3661956787,51.5562667847,51.2406845093,49.3060455322
1972,48.7190475464,53.1095695496,50.0783081055,50.756187439,51.5541801453,51.9945144653,50.4933395386
1973,48.3456230164,52.5967254639,50.142364502,50.1674880981,50.8092498779,51.5253410339,51.1401596069
1974,49.2062911987,53.1156692505,51.3046951294,50.6320953369,50.741355896,50.6946640015,50.9164810181
1975,48.3551254272,53.0985832214,49.4580001831,49.4874343872,51.7006835938,50.4855422974,51.1183547974
1976,47.9165534973,52.8540267944,50.7429580688,50.4866943359,52.6475944519,50.9045562744,49.866897583
1977,49.3020935059,54.0524139404,51.4022674561,50.6671447754,51.4936447144,51.9970932007,51.3905944824
1978,49.4146499634,52.9295043945,51.0056419373,50.6395111084,50.9294967651,51.7965927124,51.2616119385
1979,49.213760376,53.6353759766,50.6303329468,50.1251335144,50.1912155151,50.1284294128,51.1636161804
1980,48.9634399414,52.8440856934,51.1458129883,51.1633987427,52.4999389648,50.8226013184,51.6471252441
1981,49.1300468445,53.2846374512,52.682220459,52.5076828003,51.2512321472,49.8116378784,50.82787323
1982,48.6943283081,53.1367607117,49.9498748779,50.3615570068,50.7342681885,50.4833450317,49.9523735046
1983,48.5773773193,53.3436355591,51.1103973389,50.732460022,50.9530639648,50.12733078,49.5369796753
1984,49.5909805298,53.2177276611,51.2599906921,51.3440666199,50.4943847656,50.7870597839,51.412071228
1985,48.9906311035,53.6689376831,49.915763855,51.3673019409,50.9580078125,49.8695907593,50.8103485107
1986,49.2916030884,53.5779724121,51.272277832,49.9573173523,51.8818473816,53.4782180786,51.2245330811
